ball_cropped_query (1154789300),intersection,norms1,norms2,bhattacharyya,Time
airplane_cropped_1,9.233107149600983,53.53378617763519,1.4565710946917534,31.653256714344025,0
airplane_cropped_2,11.028016418218613,49.943968296051025,1.192746389657259,27.046419620513916,0
airplane_cropped_3,11.07368978857994,49.852620363235474,1.245325269177556,26.79294103384018,0
airplane_cropped_4,11.228399202227592,49.543201327323914,1.4002787806093693,24.928672283887863,0
airplane_cropped_5,9.710795491933823,52.57840836048126,1.1857992094010115,30.786712110042572,0
ball_cropped_1,9.722200497984886,52.55559861660004,1.236203970387578,29.757617712020874,0
ball_cropped_2,9.181404754519463,53.6371910572052,5.960379272699356,30.37004381418228,0
ball_cropped_3,8.069932535290718,55.8601348400116,1.4672211222350597,34.91725838184357,0
ball_cropped_4,8.839279592037201,54.32144069671631,1.159039432182908,33.14533030986786,0
ball_cropped_5,10.22982057929039,51.54035985469818,5.0166807025671005,28.093148171901703,0
car_cropped_1,6.784578338265419,58.43084394931793,1.2524001654237509,40.44494968652725,0
car_cropped_2,5.2048703245818615,61.59025955200195,1.3267831970006227,46.14900213479996,0
car_cropped_3,5.148476146161556,61.703049063682556,1.2676243018358946,48.29286241531372,0
car_cropped_4,7.847013965249062,56.30597126483917,1.1815302465111017,35.92048245668411,0
car_cropped_5,6.76434101164341,58.47131836414337,1.2281728964298964,39.116579413414,0
cat_cropped_1,11.079717978835106,49.84056377410889,1.230324950069189,27.503657937049866,0
cat_cropped_2,14.431119680404663,43.13776123523712,1.086467418819666,19.841222643852234,0
cat_cropped_3,7.262958109378815,57.47408330440521,1.3724324759095907,38.11479377746582,0
cat_cropped_4,11.53171756863594,48.936564922332764,1.2068829368799925,27.05181223154068,0
cat_cropped_5,13.744551092386246,44.51089859008789,1.1896422058343887,21.4567292034626,0
dolphin_cropped_1,10.144422441720963,51.7111554145813,1.2230786997824907,26.033931732177734,0
dolphin_cropped_2,8.535220012068748,54.9295597076416,1.6954727582633495,31.600146234035492,0
dolphin_cropped_3,4.812282592058182,62.37543487548828,7.443058468401432,55.362292766571045,0
dolphin_cropped_4,7.895684644579887,56.208629965782166,1.2188078090548515,36.361601769924164,0
dolphin_cropped_5,6.20343904197216,59.59312152862549,6.867456689476967,47.125103533267975,0
face_cropped_1,11.09011347591877,49.81977307796478,1.1412965841591358,26.529047071933746,0
face_cropped_2,10.190625056624413,51.61875128746033,1.1649694070219994,29.78269875049591,0
face_cropped_3,12.716178566217422,46.56764316558838,1.051859725266695,21.74974173307419,0
face_cropped_4,12.117964684963226,47.764071106910706,1.1421244330704212,23.594411969184875,0
face_cropped_5,9.295061141252518,53.40987765789032,1.2057356499135494,30.883068084716797,0
lotus_cropped_1,11.943880423903465,48.11223912239075,1.1212130263447762,23.942450612783432,0
lotus_cropped_2,10.977208614349365,50.04558348655701,1.1538267694413662,28.957036077976227,0
lotus_cropped_3,7.106407910585403,57.78718388080597,9.232375338673592,40.743587136268616,0
lotus_cropped_4,6.721968919038773,58.55606293678284,1.2119428142905235,41.022459626197815,0
lotus_cropped_5,7.444224700331688,57.11155164241791,1.360061863437295,36.041298270225525,0
pickles_cropped_1,9.395863398909569,53.20827376842499,3.6710905507206917,26.787958443164825,0
pickles_cropped_2,9.332222878932953,53.33555448055267,3.867591969668865,29.046251595020294,0
pickles_cropped_3,11.538875460624695,48.92224979400635,1.926353257149458,19.933167457580566,0
pickles_cropped_4,10.19227622449398,51.61544895172119,2.3062256090343,25.042638450860977,0
pickles_cropped_5,8.803018137812614,54.39396405220032,2.947641097009182,25.958697617053986,0
