pickles_querry (1233253700),intersection,norms1,norms2,bhattacharyya,Time
airplane_1,3.8202910274267197,64.3594182729721,8.11448149383068,41.49424451589584,0
airplane_2,3.6922701336443424,64.61546015739441,7.394934371113777,44.66276800632477,0
airplane_3,3.6628267243504524,64.67434680461884,8.155782386660576,44.83546531200409,0
airplane_4,3.2173912525177,65.56521844863892,8.666594535112381,47.85901474952698,0
airplane_5,3.187842585146427,65.62431514263153,10.09971471130848,47.46379590034485,0
ball_1,4.0231645330786705,63.95367074012756,6.095779582858086,42.482038736343384,0
ball_2,2.5010102912783623,66.99797999858856,16.478016674518585,61.72656583786011,0
ball_3,3.7314818501472473,64.53703582286835,6.1247067749500275,43.458887338638306,0
ball_4,4.034329883754253,63.93134045600891,6.142412722110748,42.05578017234802,0
ball_5,3.2247620448470116,65.55047619342804,10.60476116836071,52.18774902820587,0
car_1,4.493818633258343,63.01236307621002,6.299445807933807,38.41359484195709,0
car_2,4.49403814971447,63.01192378997803,6.05384324491024,37.485906422138214,0
car_3,4.432225406169891,63.13554871082306,6.0544751435518265,37.270735681056976,0
car_4,4.457255855202675,63.08548903465271,6.074327886104584,37.87607115507126,0
car_5,4.4236843809485435,63.15263056755066,6.094296380877495,38.1814883351326,0
cat_1,4.290290087461472,63.41941940784454,6.227959647774696,41.096981048583984,0
cat_2,3.4361599311232567,65.12768018245697,6.12246473133564,47.516679644584656,0
cat_3,2.8901557587087154,66.21968913078308,6.2476467192173,53.697755336761475,0
cat_4,2.5265485458076,66.94690239429474,6.2588886469602585,57.36499798297882,0
cat_5,3.103584259748459,65.79283165931702,6.201244190335274,52.64593708515167,0
dolphin_1,1.4143493976444006,69.17130148410797,6.188931837677956,75.39836728572845,0
dolphin_2,3.007346771657467,65.98530650138855,6.174020990729332,52.6137797832489,0
dolphin_3,2.234154775738716,67.53169071674347,11.919953405857086,57.18997669219971,0
dolphin_4,2.768215861171484,66.46356797218323,7.596571862697601,53.7941951751709,0
dolphin_5,2.8695636726915836,66.26087415218353,11.537287712097168,49.59785354137421,0
face_1,4.112113744020462,63.77577304840088,6.114396557211876,40.818513572216034,0
face_2,4.545898973941803,62.908201456069946,6.071498245000839,36.59520089626312,0
face_3,4.355295822024345,63.28940737247467,6.066256016492844,39.24661374092102,0
face_4,4.38193403929472,63.23613178730011,6.086297646164894,39.197192430496216,0
face_5,3.8897686675190926,64.22046339511871,6.116256922483444,42.26224422454834,0
lotus_1,2.9934508465230465,66.01309895515442,6.123581901192665,51.34400796890259,0
lotus_2,4.6894905641674995,62.621018290519714,6.164655700325966,38.90218788385391,0
lotus_3,2.55832614377141,66.88334739208221,21.86674267053604,59.152878761291504,0
lotus_4,2.6738700196146965,66.65226066112518,6.1373026967048645,56.536511063575745,0
lotus_5,3.9925530701875687,64.0148937702179,6.107055962085724,42.93105870485306,0
pickles_1,26.93345695734024,18.13308772444725,2.3400331400334835,2.527669306844473,0
pickles_2,22.037023901939392,27.925952970981598,4.889280319213867,5.424600213766098,0
pickles_3,12.565778523683548,46.86844325065613,6.792375221848488,15.600444108247757,0
pickles_4,17.311309337615967,37.37738162279129,5.471393197774887,10.790542617440224,0
pickles_5,9.044998794794083,53.91000211238861,7.697694644331932,22.775429129600525,0
