cat_query (6960400),intersection,norms1,norms2,bhattacharyya,Time
airplane_1,0.7847927153723276,0.4304145692553448,0.17940438759110255,0.03913471175756433,6648300
airplane_2,0.8172227002861595,0.3655545994276811,0.11561425037786258,0.02445971147116429,2147500
airplane_3,0.7228973111808348,0.5542053776383307,0.21345422560767965,0.058054997326493,1983800
airplane_4,0.7732529526299189,0.4534940947401623,0.17188099225741083,0.040550657736416515,1007800
airplane_5,0.6695005891104862,0.6609988217790277,0.29660873357217366,0.08427107703587756,1731700
ball_1,0.8245676171746968,0.35086476565060637,0.05832672159941506,0.023922460887134345,3108500
ball_2,0.4518551950180269,1.0962896099639463,0.5018152347544205,0.2328703951432768,1007000
ball_3,0.7902430597648201,0.41951388047036003,0.10016635336102528,0.032845281731024766,2622200
ball_4,0.8788969518190758,0.2422060963618486,0.05576876357858449,0.011888084251593942,0
ball_5,0.5952782115796171,0.8094435768407657,0.3475167386793727,0.12413500205619334,0
car_1,0.766329455100849,0.46734108979830197,0.10760283311872486,0.04335874276056914,6991500
car_2,0.8416742284713177,0.31665154305736487,0.06102474675156547,0.02141249437836766,1234500
car_3,0.868177155863019,0.26364568827396195,0.05572516981942325,0.01682885647321938,2016600
car_4,0.8804315469505712,0.23913690609885746,0.03962461582271431,0.013495432835501938,1986100
car_5,0.8644974020334517,0.27100519593309674,0.04636418794164639,0.0165484829955743,1720300
cat_1,0.8430413606979226,0.31391727860415497,0.07039567069385501,0.02371112534769526,2005500
cat_2,0.9182289107978062,0.16354217840438776,0.028629437595199522,0.005425450213143539,2104000
cat_3,0.906455526322783,0.1870889473544341,0.03120386699050177,0.008854659051233948,3979100
cat_4,0.8684259988571252,0.26314800228574964,0.05209798472379377,0.011481528293009014,0
cat_5,0.8336109472304163,0.3327781055391674,0.05818241467180008,0.024047327771277265,0
dolphin_1,0.7906857995089072,0.41862840098218557,0.0701387532827906,0.03849233605021409,6291100
dolphin_2,0.7829059734513275,0.4341880530973451,0.08213204284867127,0.03453424281310836,0
dolphin_3,0.657055063913471,0.685889872173058,0.285797221570578,0.08599463459384653,0
dolphin_4,0.7753492777947311,0.449301444410538,0.13957024309009164,0.040726612761570136,0
dolphin_5,0.792970678719283,0.4140586425614341,0.1746976107891105,0.035459713797504865,7790800
face_1,0.8870462208143383,0.22590755837132337,0.034644812866705156,0.010391279508935255,3015700
face_2,0.8779408158945423,0.24411836821091534,0.03989876107417803,0.012095817477729328,2617500
face_3,0.8049760011999401,0.39004799760012,0.07753974717874583,0.029497987838840733,290600
face_4,0.8903718278973953,0.21925634420520962,0.03661612591817928,0.010679789883500608,0
face_5,0.8777513047424551,0.24449739051508962,0.03993049806762558,0.013362898163584786,7766700
lotus_1,0.8176215042959643,0.36475699140807155,0.058582535509065545,0.02505398052122291,1998100
lotus_2,0.7921058334838361,0.415788333032328,0.12459925156992654,0.03102397000514233,2000100
lotus_3,0.47785579573480347,1.044288408530393,0.5259269644357754,0.1951353104632719,1980900
lotus_4,0.8695494717296006,0.2609010565407984,0.043824213872087486,0.014777649328594173,2106100
lotus_5,0.7769106816768006,0.446178636646399,0.0894242496636778,0.03918455457430858,3014500
pickles_1,0.24331228244288128,1.5133754351142377,0.7558359766781503,0.5548833721543333,119646700
pickles_2,0.2290481991150443,1.5419036017699117,0.7704651860475353,0.59941710966938,166826400
pickles_3,0.2695173501706688,1.4609652996586626,0.6910020253730752,0.46477340822211155,111228300
pickles_4,0.26790496008010717,1.4641900798397858,0.703571876582546,0.48042692949290405,136972700
pickles_5,0.26632212838554725,1.4673557432289055,0.7145575601308666,0.4862141794399503,77415500
