car_cropped_query (7224500),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
airplane_cropped_1,0.8370762811196024,0.32584743776079517,0.056895740305689786,0.023753547755430725,5.154193764428146,0.03379597789176736,11,6179800
airplane_cropped_2,0.834803180146447,0.33039363970710595,0.0698679043823496,0.02155380611397581,3.8056944649589384,0.03367307921210873,14,7173500
airplane_cropped_3,0.8641719273479207,0.2716561453041585,0.04741755839559657,0.018171012151488513,6.550704818317086,0.037399140275896185,16,6661600
airplane_cropped_4,0.8569218440861047,0.28615631182779067,0.05474681218155328,0.019523498750328053,6.416584211706948,0.03519332510875524,18,5658200
airplane_cropped_5,0.8649169465317463,0.2701661069365073,0.052318901206982606,0.018817581010151796,5.640326716208035,0.03613451113824079,12,6032200
ball_cropped_1,0.6941143877620777,0.6117712244758444,0.10753482787695474,0.08404058379728714,26.223932494780424,0.03650283227514738,5,4499100
ball_cropped_2,0.6039766876873398,0.7920466246253207,0.24885564085761513,0.12649712283473397,15.818091310390393,0.06176482683639227,4,8795100
ball_cropped_3,0.6711028976516291,0.6577942046967419,0.1187404151027676,0.08794589264805726,16.29730795356439,0.03764054638104255,7,13891400
ball_cropped_4,0.6771685919589332,0.6456628160821336,0.11490063988600956,0.09328099120196931,10.766328786187952,0.0325001902041904,1,5018100
ball_cropped_5,0.6050142642908704,0.7899714714182594,0.2278839035601812,0.11447930159568347,24.92200361915386,0.056905783558310274,0,12044300
car_cropped_1,0.8679349745601554,0.26413005087968927,0.04149015228016967,0.019159646859569286,4.784242141055668,0.03628872483591626,30,2507300
car_cropped_2,0.9233636387987884,0.15327272240242346,0.024876766798440746,0.0076210770600205514,2.53913897898951,0.03852299624632403,37,1999900
car_cropped_3,0.912227804598037,0.17554439080392592,0.028413507749750093,0.009250605945221594,1.4742095580887844,0.036876398437508826,32,1577800
car_cropped_4,0.8899813306834528,0.22003733863309458,0.042121790046238686,0.013690800277444362,2.95197388515889,0.035564060357593484,31,3005600
car_cropped_5,0.9064369240343233,0.18712615193135346,0.03403454453184122,0.011504315155213902,1.4036727690115236,0.03735515244993877,36,2568200
cat_cropped_1,0.7592241780336996,0.48155164393260125,0.0926897943809437,0.052953787789259146,11.459004278177394,0.02788062116367451,21,8591400
cat_cropped_2,0.7212314197098596,0.5575371605802807,0.09837811083310635,0.06268082952106219,13.040252342054877,0.027049928197862307,4,14703400
cat_cropped_3,0.7483051173670567,0.5033897652658863,0.0957081814270275,0.05752628277120918,13.179886924477016,0.027764443105228735,22,9166800
cat_cropped_4,0.7752199374982487,0.4495601250035027,0.08185275851149998,0.04588910361394585,7.6733672599674,0.03320835003707077,0,10012600
cat_cropped_5,0.7101558814275261,0.5796882371449477,0.11244316911496957,0.07856978966893254,15.31690144907619,0.02722479330664236,16,11518100
dolphin_cropped_1,0.874125536950995,0.25174892609801,0.05016978175151759,0.014845348915963178,5.715006136582802,0.03546753457658036,10,5997900
dolphin_cropped_2,0.7849951526494847,0.4300096947010308,0.07906838904870903,0.04329908711016114,11.470528929445626,0.03977086342172168,26,3998800
dolphin_cropped_3,0.7418396672221375,0.5163206655557251,0.1384111240253975,0.05112469239601642,24.687901233967086,0.04830815927013378,16,6103900
dolphin_cropped_4,0.7336585137780895,0.5326829724438211,0.0927388675761225,0.0631493393100152,9.339654286354385,0.030647077731767728,5,4064100
dolphin_cropped_5,0.7664489155343219,0.46710216893135637,0.11136158347954667,0.038620104177370655,16.32550110447827,0.04411560604473724,15,12072700
face_cropped_1,0.7260002629964059,0.5479994740071885,0.09352021490318474,0.059183702438756244,12.401800610675219,0.0278770893603343,3,11616000
face_cropped_2,0.7216555176839271,0.5566889646321456,0.09502165328646929,0.06190877034038185,13.356752918835095,0.027734003414174178,8,9604100
face_cropped_3,0.7032375022950157,0.5935249954099684,0.10216490988743292,0.0729293872100182,15.367049031461972,0.0274191138336419,9,9128800
face_cropped_4,0.7296513022247357,0.5406973955505284,0.08933235551641833,0.05967534342533972,12.011771274752466,0.029356704969326824,5,13193900
face_cropped_5,0.7109574406437915,0.5780851187124171,0.10374307077187327,0.06706494753663368,15.060417257913286,0.02634094099508499,14,11057500
lotus_cropped_1,0.7105804528932635,0.5788390942134727,0.10188409210566803,0.07260715675539038,8.831192599664107,0.03354308555911764,4,5921900
lotus_cropped_2,0.7290275307124925,0.5419449385750149,0.08870211818505784,0.05981898313041847,11.024025830099312,0.029626013002645384,6,4662500
lotus_cropped_3,0.6608082718265598,0.6783834563468804,0.21457381735615016,0.08287185645026175,40.21549730110176,0.055918724257621066,20,7741800
lotus_cropped_4,0.6818178254544884,0.6363643490910231,0.10620847974749299,0.08677620401813814,12.862635402815046,0.028430347929772275,12,3183000
lotus_cropped_5,0.7165244781469469,0.5669510437061063,0.09469569307982763,0.07149588411854843,20.59110585118302,0.034240583488961675,13,16704800
pickles_cropped_1,0.5313997820913368,0.9372004358173265,0.41919959870930096,0.1581651281553613,61.754156567112034,0.08239657342908392,4,862983600
pickles_cropped_2,0.5637911460407274,0.8724177079185454,0.35229032132196303,0.12914873868509782,53.61044769224479,0.07358153117628308,3,401760500
pickles_cropped_3,0.580925229561613,0.8381495408767741,0.3587838065267756,0.12609157381291497,53.31716137338172,0.07546805846586553,1,821348100
pickles_cropped_4,0.5997778606010373,0.8004442787979253,0.3307534659260448,0.11358538466718952,50.32536678320787,0.07250193388313488,1,670169800
pickles_cropped_5,0.5643045164190407,0.8713909671619187,0.3690906151924503,0.13739366844209114,54.40551974612601,0.07638169585956699,4,672391100
