dolphin_cropped_query (7224500),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
airplane_cropped_1,0.8503984776088828,0.2992030447822345,0.05223812395106133,0.019644397004172975,10.254760912906157,0.02823431300846481,11,6179800
airplane_cropped_2,0.8333031237286802,0.3333937525426395,0.06296707103610263,0.022538885952370784,10.011021926115419,0.028315598507260932,16,7173500
airplane_cropped_3,0.8172813777258452,0.36543724454830967,0.06539113899358868,0.024493008119192902,14.99545696578858,0.030569535449751106,17,6661600
airplane_cropped_4,0.8313289447773369,0.3373421104453259,0.05859352058156717,0.02335945127013965,14.080462662109321,0.02915951478489953,18,5658200
airplane_cropped_5,0.8004170501814053,0.39916589963718946,0.06863185087309591,0.03199567361742664,13.851949962256475,0.029332162654054788,11,6032200
ball_cropped_1,0.6711935244411735,0.6576129511176529,0.1139567343440949,0.08467832231356592,33.670646605161345,0.029975816508419642,5,4499100
ball_cropped_2,0.5914736087714021,0.8170527824571956,0.27478094783622814,0.1245966513486825,12.097862334430529,0.0491612904640259,3,8795100
ball_cropped_3,0.7611859620962673,0.4776280758074653,0.1120474677903832,0.04354960212137361,7.128084052983872,0.03259705523250727,6,13891400
ball_cropped_4,0.7098773937170517,0.5802452125658966,0.11350331786245338,0.07573324333306912,13.513029751551503,0.026843950425599485,1,5018100
ball_cropped_5,0.6370402026923898,0.7259195946152202,0.25137043349970994,0.10437707333858691,17.36755008801652,0.045461956171501644,0,12044300
car_cropped_1,0.8222826618921489,0.3554346762157021,0.06224370493441423,0.024672991376744193,11.637749515847613,0.029396485083245306,31,2507300
car_cropped_2,0.8012803187301034,0.39743936253979295,0.06771845093173963,0.035404038122733926,10.378972834514446,0.030723711992393248,33,1999900
car_cropped_3,0.8228250196018465,0.3543499607963072,0.06124237934598364,0.02899716301440009,10.463637363093172,0.029588930916047126,31,1577800
car_cropped_4,0.8193665857131789,0.36126682857364223,0.06195993127288913,0.029001894491304903,10.50767054335019,0.028715849695467047,28,3005600
car_cropped_5,0.8020249155761487,0.3959501688477023,0.06702707082970409,0.03352298019247345,10.43953346296408,0.029872196729873055,33,2568200
cat_cropped_1,0.8822000385948133,0.23559992281037365,0.04349985649726304,0.013491391265456055,6.680510022066161,0.02541438467841851,23,8591400
cat_cropped_2,0.8459983593973963,0.3080032812052075,0.05612717865519569,0.02248394524213892,9.840640254680789,0.02449810773270609,3,14703400
cat_cropped_3,0.8844642575830097,0.23107148483398052,0.03976241033392675,0.012429833710339238,5.845386754148483,0.025738129744675785,19,9166800
cat_cropped_4,0.8013989275233115,0.39720214495337697,0.0788546756984061,0.03483565966473726,7.935219030029086,0.027633440416485765,0,10012600
cat_cropped_5,0.8530443089609702,0.2939113820780591,0.056004210368293394,0.01978828422549442,5.717519541760081,0.026162473938657584,19,11518100
dolphin_cropped_1,0.8348507299397532,0.3302985401204937,0.05548923441627475,0.029523876256981416,8.687756430404665,0.029370693790220097,9,5997900
dolphin_cropped_2,0.8060751446620169,0.3878497106759661,0.08193967303600194,0.02851070012524657,6.047340901822087,0.033723896767671666,25,3998800
dolphin_cropped_3,0.7756899285574301,0.4486201428851395,0.15933974940223267,0.039453389972631314,16.687979569006355,0.03937658430853203,15,6103900
dolphin_cropped_4,0.7787291567033318,0.44254168659333654,0.07847862467025353,0.046233297267602974,12.609955045432807,0.026052062527545695,8,4064100
dolphin_cropped_5,0.8295266429817274,0.3409467140365452,0.127909613921691,0.024187999173491816,8.689492006664612,0.036320055796669665,15,12072700
face_cropped_1,0.8560045283357246,0.2879909433285509,0.05615611268069425,0.02191326924536463,5.778627426072056,0.024857533443594242,3,11616000
face_cropped_2,0.8618622346170587,0.2762755307658826,0.0521789981026003,0.019125307156402035,4.325250568544459,0.02507142007052001,9,9604100
face_cropped_3,0.8439498118621587,0.3121003762756828,0.056700916729275325,0.022715888459371312,5.60946152464249,0.025214634542019863,11,9128800
face_cropped_4,0.8468516943693954,0.306296611261209,0.0577853030998885,0.023982405052723997,3.595005527560994,0.02586145249440414,5,13193900
face_cropped_5,0.8507222972619467,0.29855540547610676,0.05369600633438968,0.01779029493055512,5.50328799263702,0.02446480609473696,15,11057500
lotus_cropped_1,0.7385280317854617,0.5229439364290767,0.10087382231521728,0.05659544109764728,6.31302416251819,0.027829688938169173,4,5921900
lotus_cropped_2,0.826161359295235,0.34767728140953,0.06345211868923978,0.030196228122653282,3.487947440892915,0.025731143486021107,8,4662500
lotus_cropped_3,0.7374163015192443,0.5251673969615113,0.2341243883247803,0.0553762006082032,32.19536410660771,0.04571675448198448,23,7741800
lotus_cropped_4,0.7822916790179084,0.4354166419641834,0.07858531778406312,0.046007589803806245,4.724986660659023,0.025166825710492422,12,3183000
lotus_cropped_5,0.8304654145471935,0.33906917090561284,0.06814822574267006,0.02338412582133772,12.12351205744678,0.030586313578153605,11,16704800
pickles_cropped_1,0.5177037545841374,0.964592490831725,0.44927252443470167,0.17092123682478,53.73402337261799,0.06352200788333304,4,862983600
pickles_cropped_2,0.5858720629524284,0.8282558740951436,0.37977290494142385,0.1235541089790988,45.59031449775077,0.057706220042219585,3,401760500
pickles_cropped_3,0.5784245882063637,0.8431508235872726,0.38817434187154465,0.13087515809720987,45.297028178887665,0.05867549181627793,1,821348100
pickles_cropped_4,0.6081131311223291,0.783773737755342,0.35985582347227385,0.11589614375836316,42.30523358871387,0.05663693793192078,1,670169800
pickles_cropped_5,0.5595676464092807,0.8808647071814385,0.3986761935096278,0.1443162260564816,46.38538655163198,0.059208466616669016,4,672391100
